4074,nsf/888,NSF,2006-10-04,Norway,,Oslo,Seriestevne
4075,nsf/89,NSF,2000-09-16,Norway,,Bergen,Seriestevne
4076,nsf/890,NSF,2006-10-14,Norway,,Bergen,Åpent stevne
4077,nsf/891,NSF,2006-10-14,Norway,,Brumunddal,Seriestevne
4078,nsf/892,NSF,2006-10-14,Norway,,Brumunddal,Benkpresstevne
4079,nsf/893,NSF,2006-10-14,Norway,,Reem,Klubbstevne
4080,nsf/894,NSF,2006-10-18,Norway,,Ganddal,Klubbstevne
4081,nsf/895,NSF,2006-10-20,Norway,,Fræna,Klubbmesterskap benkpress
4082,nsf/896,NSF,2006-10-21,Norway,,Sande,Syd-Norsk
4083,nsf/897,NSF,2006-10-22,Norway,,Sande,Syd-Norsk benkpress
4084,nsf/898,NSF,2006-10-22,Norway,,Varhol,Klubbstevne
4085,nsf/899,NSF,2006-10-23,Norway,,Lura,Klubbstevne
4086,nsf/9,NSF,2000-02-06,Norway,,Oslo,Landskamp
4087,nsf/90,NSF,2000-09-16,Norway,,Brumunddal,Seriestevne
4088,nsf/900,NSF,2006-10-24,Norway,,Lørenskog,Klubbmesterskap
4089,nsf/901,NSF,2006-10-25,Norway,,,Seriestevne
4090,nsf/902,NSF,2006-10-26,Norway,,Halden,Seriestevne
4091,nsf/903,NSF,2006-10-28,Norway,,Gruben,Klubbstevne
4092,nsf/904,NSF,2006-10-28,Norway,,Skoger,Kretsstevne
4093,nsf/905,NSF,2006-10-31,Norway,,Sande,Seriestevne
4094,nsf/907,NSF,2006-11-16,Norway,,Fræna,Klubbstevne
4095,nsf/908,NSF,2006-11-18,Norway,,Frogner,KM benkpress
4096,nsf/909,NSF,2006-11-24,Norway,,Molde,NM U/J/Vet.
4097,nsf/91,NSF,2000-09-17,Norway,,Sundbyfoss,Kretsstevne
4098,nsf/911,NSF,2006-11-25,Norway,,Odderneshallen,Klubbstevne
4099,nsf/912,NSF,2006-11-27,Norway,,Gresvik,Seriestevne
4100,nsf/913,NSF,2006-12-01,Norway,,Trondheim,Klubbstevne
4101,nsf/914,NSF,2006-12-02,Norway,,Sande,Benk-Cup
4102,nsf/915,NSF,2006-12-02,Norway,,Hommersåk,Seriestevne
4103,nsf/916,NSF,2006-12-09,Norway,,Haukelandshallen,Klubbstevne
4104,nsf/917,NSF,2006-12-09,Norway,,,Julestevne
4105,nsf/918,NSF,2006-12-16,Norway,,Grubhei,Julestevne
4106,nsf/919,NSF,2006-12-16,Norway,,Oslo,Nasjonalt julestevne
4107,nsf/92,NSF,2000-09-22,Norway,,Fredrikstad,Seriestevne
4108,nsf/920,NSF,2006-12-16,Norway,,Reemyra Skogn,Klubbstevne
4109,nsf/921,NSF,2006-12-16,Norway,,Aktiviteten,Klubbstevne
4110,nsf/922,NSF,2006-12-20,Norway,,,Klubbstevne
4111,nsf/923,NSF,2006-12-22,Norway,,Varhol,Seriestevne
4112,nsf/924,NSF,2006-12-27,Norway,,,Klubbstevne
4113,nsf/925,NSF,2006-11-25,Norway,,Grubhei,Klubbstevne
4114,nsf/927,NSF,2007-01-13,Norway,,Melhus,Midt-norsk
4115,nsf/928,NSF,2007-01-13,Norway,,Sande,Seriestevne
4116,nsf/929,NSF,2007-01-16,Norway,,Fræna,Seriestevne
4117,nsf/93,NSF,2000-09-23,Norway,,Sande,Kretsstevne
4118,nsf/930,NSF,2007-01-20,Norway,,Frogner,KM benkpress
4119,nsf/931,NSF,2007-01-20,Norway,,Frogner,KM
4120,nsf/932,NSF,2007-01-20,Norway,,Brumunddal,Klubbmesterskap
4121,nsf/933,NSF,2007-01-20,Norway,,Ganddal,Seriestevne
4122,nsf/934,NSF,2007-01-27,Norway,,,Åpent stevne
4123,nsf/935,NSF,2007-01-30,Norway,,Halden,Klubbmesterskap
4124,nsf/936,NSF,2007-02-09,Norway,,Hommersåk,Klubbstevne
4125,nsf/937,NSF,2007-02-10,Norway,,Sande,KM
4126,nsf/938,NSF,2007-02-10,Norway,,,Klubbstevne
4127,nsf/939,NSF,2007-02-14,Norway,,Sandnes,Lagserie
4128,nsf/94,NSF,2000-09-30,Norway,,Kristiansand,Regionsmesterskap
4129,nsf/940,NSF,2007-02-17,Norway,,Steinkjer,Klubbstevne
4130,nsf/941,NSF,2007-02-20,Norway,,Lørenskoghallen,Seriestevne
4131,nsf/942,NSF,2007-02-20,Norway,,Halden,Klubbmesterskap
4132,nsf/943,NSF,2007-02-21,Norway,,Brumunddal,Klubbstevne
4133,nsf/944,NSF,2007-02-24,Norway,,Spikkestad,Kretsstevne
4134,nsf/945,NSF,2007-02-24,Norway,,Rana,Klubbstevne
4135,nsf/946,NSF,2007-02-27,Norway,,Alta,Seriestevne
4136,nsf/947,NSF,2007-02-28,Norway,,Melhus,Klubbmesterskap
